"Story","Title","Result","Date","Stability","Duration (s)"
"Book API Test Scenarios","Validate request when mandatory fields are missing","FAILURE","2025-01-05T06:57:57.796145367Z[Etc/UTC]","0.0","0.57"
"Book API Test Scenarios","Validate duplicate title","FAILURE","2025-01-05T06:57:58.373650777Z[Etc/UTC]","0.0","0.12"
"Delete book by ID","Delete a book with a valid ID as a user","FAILURE","2025-01-05T06:57:58.50377986Z[Etc/UTC]","0.0","0.55"
"Delete book by ID","Delete a book with a valid ID as an admin","FAILURE","2025-01-05T06:57:59.057320605Z[Etc/UTC]","0.0","0.26"
"Delete book by ID","Delete a book with a non-existing ID as an admin","FAILURE","2025-01-05T06:57:59.328083699Z[Etc/UTC]","0.0","0.11"
"Delete book by ID","Delete a book with a non-existing ID as a user","FAILURE","2025-01-05T06:57:59.448713537Z[Etc/UTC]","0.0","0.11"
"Edge Cases","Delete a book with a invalid ID as a user","FAILURE","2025-01-05T06:57:59.801846218Z[Etc/UTC]","0.0","0.11"
"GET a book by ID","GET a book by valid ID as different user when book does not exists","FAILURE","2025-01-05T06:58:01.841796334Z[Etc/UTC]","0.0","0.26"
"GET a book by ID","GET a book with a valid ID format as an regular user when book exists","FAILURE","2025-01-05T06:58:02.411772239Z[Etc/UTC]","0.0","0.28"
"GET a book by ID","GET a non-existent book by ID as a regular user","FAILURE","2025-01-05T06:58:02.787588436Z[Etc/UTC]","0.0","0.09"
"Update Book by ID","Send an empty string as an admin","FAILURE","2025-01-05T06:58:03.775507635Z[Etc/UTC]","0.0","0.29"
