"Story","Title","Result","Date","Stability","Duration (s)"
"Book API Test Scenarios","Create a book with valid details by roles","SUCCESS","2025-01-05T06:57:54.946418973Z[Etc/UTC]","0.0","2.84"
"Book API Test Scenarios","Validate request when mandatory fields are missing","FAILURE","2025-01-05T06:57:57.796145367Z[Etc/UTC]","0.0","0.57"
"Book API Test Scenarios","Validate duplicate title","FAILURE","2025-01-05T06:57:58.373650777Z[Etc/UTC]","0.0","0.12"
"Delete book by ID","Delete a book with a valid ID as a user","FAILURE","2025-01-05T06:57:58.50377986Z[Etc/UTC]","0.0","0.55"
"Delete book by ID","Delete a book with a valid ID as an admin","FAILURE","2025-01-05T06:57:59.057320605Z[Etc/UTC]","0.0","0.26"
"Delete book by ID","Delete a book with a non-existing ID as an admin","FAILURE","2025-01-05T06:57:59.328083699Z[Etc/UTC]","0.0","0.11"
"Delete book by ID","Delete a book with a non-existing ID as a user","FAILURE","2025-01-05T06:57:59.448713537Z[Etc/UTC]","0.0","0.11"
"Edge Cases","Accessing to an Invalid endpoint","SUCCESS","2025-01-05T06:57:59.565917392Z[Etc/UTC]","0.0","0.12"
"Edge Cases","Create a book with Extra unexpected details","SUCCESS","2025-01-05T06:57:59.692884424Z[Etc/UTC]","0.0","0.1"
"Edge Cases","Delete a book with a invalid ID as a user","FAILURE","2025-01-05T06:57:59.801846218Z[Etc/UTC]","0.0","0.11"
"Get All Books","Get all books as different user","SUCCESS","2025-01-05T06:57:59.919576748Z[Etc/UTC]","0.0","0.31"
"Get All Books","Get all books when no book exist","SUCCESS","2025-01-05T06:58:00.233156039Z[Etc/UTC]","0.0","0.92"
"Get All Books","Get all books when books exist","SUCCESS","2025-01-05T06:58:01.160047697Z[Etc/UTC]","0.0","0.37"
"Get All Books","Get all books when books exist and validate response schema","SUCCESS","2025-01-05T06:58:01.532495627Z[Etc/UTC]","0.0","0.28"
"GET a book by ID","GET a book by valid ID as different user when book does not exists","FAILURE","2025-01-05T06:58:01.841796334Z[Etc/UTC]","0.0","0.26"
"GET a book by ID","GET a book with a valid ID format as an admin user when book exists","SUCCESS","2025-01-05T06:58:02.105771921Z[Etc/UTC]","0.0","0.3"
"GET a book by ID","GET a book with a valid ID format as an regular user when book exists","FAILURE","2025-01-05T06:58:02.411772239Z[Etc/UTC]","0.0","0.28"
"GET a book by ID","GET a non-existent book by ID as an admin","SUCCESS","2025-01-05T06:58:02.692098411Z[Etc/UTC]","0.0","0.09"
"GET a book by ID","GET a non-existent book by ID as a regular user","FAILURE","2025-01-05T06:58:02.787588436Z[Etc/UTC]","0.0","0.09"
"GET a book by ID","GET a book with an invalid ID format as an admin","SUCCESS","2025-01-05T06:58:02.885130479Z[Etc/UTC]","0.0","0.09"
"GET a book by ID","GET a book with an invalid ID format as a regular user","SUCCESS","2025-01-05T06:58:02.982103237Z[Etc/UTC]","0.0","0.09"
"Update Book by ID","Update a book with a valid ID as an admin","SUCCESS","2025-01-05T06:58:03.075728458Z[Etc/UTC]","0.0","0.26"
"Update Book by ID","Update a book with missing mandatory fields as an admin","SUCCESS","2025-01-05T06:58:03.336064323Z[Etc/UTC]","0.0","0.24"
"Update Book by ID","Update a book with a valid ID as a normal user","SUCCESS","2025-01-05T06:58:03.57782212Z[Etc/UTC]","0.0","0.19"
"Update Book by ID","Send an empty string as an admin","FAILURE","2025-01-05T06:58:03.775507635Z[Etc/UTC]","0.0","0.29"
