"Story","Title","Result","Date","Stability","Duration (s)"
"PIM","navigate to PIM page","SUCCESS","2025-01-05T06:58:11.026135095Z[Etc/UTC]","0.0","10.63"
"PIM","add employee","SUCCESS","2025-01-05T06:58:21.831634501Z[Etc/UTC]","0.0","5.42"
"PIM","Search existing employee","SUCCESS","2025-01-05T06:58:27.348320565Z[Etc/UTC]","0.0","5.41"
"Claim","Navigate to Claim page","SUCCESS","2025-01-05T06:58:32.886211919Z[Etc/UTC]","0.0","3.06"
"Claim","Assign Claim","SUCCESS","2025-01-05T06:58:36.027926156Z[Etc/UTC]","0.0","5.73"
"Claim","Search existing claim","SUCCESS","2025-01-05T06:58:41.84477581Z[Etc/UTC]","0.0","6.44"
"Leave","Navigate to Leave page","SUCCESS","2025-01-05T06:58:48.397719194Z[Etc/UTC]","0.0","3.84"
"Leave","Add entitlements","SUCCESS","2025-01-05T06:58:52.320457852Z[Etc/UTC]","0.0","6.23"
"Leave","Assign Leave","ERROR","2025-01-05T06:58:58.634174909Z[Etc/UTC]","0.0","5.7"
"Leave","Search Leave List","SUCCESS","2025-01-05T06:59:04.417346893Z[Etc/UTC]","0.0","5.23"
"Login","Successful Login","SUCCESS","2025-01-05T06:59:09.731104041Z[Etc/UTC]","0.0","2.64"
"Recruitment Page Actions","Navigate to Recruitment page","SUCCESS","2025-01-05T06:59:12.460800693Z[Etc/UTC]","0.0","3.01"
"Recruitment Page Actions","Add a new vacancy","SUCCESS","2025-01-05T06:59:15.556420448Z[Etc/UTC]","0.0","7.5"
"Time","Redirect to Time Page","SUCCESS","2025-01-05T06:59:23.150043795Z[Etc/UTC]","0.0","3.04"
"Time","Add Project Info","SUCCESS","2025-01-05T06:59:26.278717512Z[Etc/UTC]","0.0","5.87"
"Time","Search existing Project","SUCCESS","2025-01-05T06:59:32.234137144Z[Etc/UTC]","0.0","6.82"
"User Management - Search Functionality","Navigate to Admin page","SUCCESS","2025-01-05T06:59:39.157572417Z[Etc/UTC]","0.0","3.04"
"User Management - Search Functionality","Add User","SUCCESS","2025-01-05T06:59:42.280196454Z[Etc/UTC]","0.0","8.8"
"User Management - Search Functionality","navigate to the job page","SUCCESS","2025-01-05T06:59:51.16590912Z[Etc/UTC]","0.0","4.15"
